"codice","descrizione"
"41412","Dissezione dell’arteria coronarica"
"41419","Altro aneurisma cardiaco"
"4148","Altre forme specificate di cardiopatia ischemica cronica"
"4149","Cardiopatia ischemica cronica non specificata"
"415","Malattia cardiopolmonare acuta"
"4150","Cuore polmonare acuto"
"4151","Embolia polmonare e infarto polmonare"
"41511","Embolia polmonare e infarto polmonare iatrogeni"
"41519","Altre forme di embolia polmonare e infarto polmonare"
"416","Malattia cardiopolmonare cronica"
"4160","Ipertensione polmonare primitiva"
"4161","Cardiopatia cifoscoliotica"
"4168","Altre forme di malattia cardiopolmonare"
"4169","Malattia cardiopolmonare cronica, non specificata"
"417","Altre malattie del circolo polmonare"
"4170","Fistola arterovenosa dei vasi polmonari"
"4171","Aneurisma dell’arteria polmonare"
"4178","Altre malattie del circolo polmonare"
"4179","Altre malattie del circolo polmonare non specificate"
"420","Pericardite acuta"
"4200","Pericardite acuta in malattie classificate altrove"
"4209","Altre e non specificate pericarditi acute"
"42090","Pericardite acuta non specificata"
"42091","Pericardite acuta idiopatica"
"42099","Altre forme di pericardite acuta"
"421","Endocardite acuta e subacuta"
"4210","Endocardite batterica acuta e subacuta"
"4211","Endocardite infettiva acuta e subacuta in malattie classificate altrove"
"4219","Endocardite acuta non specificata"
"422","Miocardite acuta"
"4220","Miocardite acuta in malattie classificate altrove"
"4229","Altre e non specificate miocarditi acute"
"42290","Miocardite acuta non specificata"
"42291","Miocardite idiopatica"
"42292","Miocardite settica"
"42293","Miocardite tossica"
"42299","Altra miocardite acuta"
"423","Altre malattie del pericardio"
"4230","Emopericardio"
"4231","Pericardite adesiva"
"4232","Pericardite costrittiva"
"4238","Altre malattie specificate del pericardio"
"4239","Malattie non specificate del pericardio"
"424","Altre malattie dell’endocardio"
"4240","Disturbi della valvola mitrale"
"4241","Disturbi della valvola aortica"
"4242","Disturbi della valvola tricuspide, specificati come non reumatici"
"4243","Disturbi della valvola polmonare"
"4249","Endocardite, valvola non specificata"
"42490","Endocardite, valvola non specificata, causa non specificata"
"42491","Endocardite in malattie classificate altrove"
"42499","Altre endocarditi, valvole non specificate"
"425","Cardiomiopatie"
"4250","Fibrosi endomiocardica"
"4251","Cardiomiopatia ipertrofica ostruttiva"
"4252","Malattia di Becker"
"4253","Fibroelastosi endocardica"
"4254","Altre cardiomiopatie primitive"
"4255","Cardiomiopatia alcoolica"
"4257","Cardiomiopatie nutritive e metaboliche"
"4258","Cardiomiopatia in altre malattie classificate altrove"
"4259","Cardiomiopatia secondaria, non specificata"
"426","Disturbi della conduzione"
"4260","Blocco atrioventricolare completo"
"4261","Altro e non specificato blocco atrioventricolare"
"42610","Blocco atrioventricolare non specificato"
"42611","Blocco atrioventricolare di primo grado"
"42612","Blocco atrioventricolare di secondo grado, Mobitz II"
"42613","Altro blocco atrioventricolare di secondo grado"
"4262","Emiblocco di branca sinistra"
"4263","Altro blocco completo di branca sinistra"
"4264","Blocco completo di branca destra"
"4265","Altro e non specificato blocco di branca"
"42650","Blocco di branca non specificato"
"42651","Blocco di branca destra e blocco fascicolare sinistro posteriore"
"42652","Blocco di branca destra e blocco fascicolare sinistro anteriore"
"42653","Altro blocco bilaterale di branca del fascio di his"
"42654","Blocco trifascicolare"
"4266","Altro blocco cardiaco"
"4267","Eccitazione atrioventricolare anomala"
"4268","Altri disturbi specificati della conduzione"
"42681","Sindrome di Lown-Ganong-Levine"
"42682","Sindrome del QT lungo"
"42689","Altri disturbi di conduzione specificati"
"4269","Disturbi della conduzione non specificati"
"427","Aritmie cardiache"
"4270","Tachicardia parossistica sopraventricolare"
"4271","Tachicardia parossistica ventricolare"
"4272","Tachicardia parossistica non specificata"
"4273","Fibrillazione e flutter atriali"
"42731","Fibrillazione atriale"
"42732","Flutter atriale"
"4274","Fibrillazione e flutter ventricolari"
"42741","Fibrillazione ventricolare"
"42742","Flutter ventricolare"
"4275","Arresto cardiaco"
"4276","Battiti prematuri"
"42760","Battiti prematuri non specificati"
"42761","Extrasistole auricolare"
"42769","Altri battiti prematuri"
"4278","Altre aritmie cardiache specificate"
"42781","Disfunzione del nodo senoatriale"
"42789","Altre aritmie cardiache specificate"
"4279","Disturbi del ritmo cardiaco non specificati"
"428","Insufficienza cardiaca (scompenso cardiaco)"
"4280","Insufficienza cardiaca congestizia non specificata (scompenso cardiaco congestizio non specificato)"
"4281","Insufficienza del cuore sinistro (scompenso cardiaco sinistro)"
"4282","Insufficienza cardiaca sistolica"
"42820","Insufficienza cardiaca sistolica non specificata"
"42821","Insufficienza cardiaca sistolica acuta"
"42822","Insufficienza cardiaca sistolica cronica"
"42823","Insufficienza cardiaca sistolica acuta e cronica"
"4283","Insufficienza cardiaca diastolica"
"42830","Insufficienza cardiaca diastolica non specificata"
"42831","Insufficienza cardiaca diastolica acuta"
"42832","Insufficienza cardiaca diastolica cronica"
"42833","Insufficienza cardiaca diastolica acuta e cronica"
"4284","Insufficienza cardiaca sistolica e diastolica combinata"
"42840","Insufficienza cardiaca sistolica e diastolica combinata non specificata"
"42841","Insufficienza cardiaca sistolica e diastolica combinata acuta"
"42842","Insufficienza cardiaca sistolica e diastolica combinata cronica"
"42843","Insufficienza cardiaca sistolica e diastolica combinata acuta e cronica"
"4289","Insufficienza cardiaca non specificata (scompenso cardiaco non specificato)"
"4290","Miocardite non specificata"
"4291","Degenerazione miocardica"
"4292","Malattia cardiovascolare non specificata"
"4293","Cardiomegalia"
"4294","Disturbi funzionali conseguenti a chirurgia cardiaca"
"4295","Rottura di corda tendinea"
"4296","Rottura di muscolo papillare"
"4297","Alcuni postumi di infarto miocardico non classificati altrove"
"42971","Difetto settale acquisito"
"42979","Altri postumi di infarto miocardico non classificati altrove"
"4298","Altre cardiopatie mal definite"
"42981","Altre alterazioni del muscolo papillare"
"42982","Cardiopatia ipercinetica"
"42983","Sindrome di Takotsubo"
"42989","Altre cardiopatie mal definite"
"4299","Cardiopatia non specificata"
"430","Emorragia subaracnoidea"
"431","Emorragia cerebrale"
"432","Altre e non specificate emorragie intracraniche"
"4320","Emorragia extradurale non traumatica"
"4321","Emorragia subdurale"
"4329","Emorragia intracranica non specificata"
"433","Occlusione e stenosi delle arterie precerebrali"
"4330","Occlusione e stenosi della arteria basilare"
"43300","Occlusione e stenosi della arteria basilare senza menzione di infarto cerebrale"
"43301","Occlusione e stenosi della arteria basilare con infarto cerebrale"
"4331","Occlusione e stenosi della carotide"
"43310","Occlusione e stenosi della carotide senza menzione di infarto cerebrale"
"43311","Occlusione e stenosi della carotide con infarto cerebrale"
"4332","Occlusione e stenosi della arteria vertebrale"
"43320","Occlusione e stenosi della arteria vertebrale senza menzione di infarto cerebrale"
"43321","Occlusione e stenosi della arteria vertebrale con infarto cerebrale"
"4333","Occlusioni e stenosi multiple e bilaterali delle arterie precerebrali"
"43330","Occlusioni e stenosi multiple e bilaterali delle arterie precerebrali senza menzione di infarto cerebrale"
"43331","Occlusioni e stenosi multiple e bilaterali delle arterie precerebrali con infarto cerebrale"
"4338","Occlusione e stenosi di altre arterie precerebrali specificate"
"43380","Occlusione e stenosi di altre arterie precerebrali specificate senza menzione di infarto cerebrale"
"43381","Occlusione e stenosi di altre arterie precerebrali specificate con infarto cerebrale"
"4339","Occlusione e stenosi di arteria precerebrale non specificata"
"43390","Occlusione e stenosi di arteria precerebrale non specificata senza menzione di infarto cerebrale"
"43391","Occlusione e stenosi di arteria precerebrale non specificata con infarto cerebrale"
"434","Occlusione delle arterie cerebrali"
"4340","Trombosi cerebrale"
"43400","Trombosi cerebrale senza menzione di infarto cerebrale"
"43401","Trombosi cerebrale con infarto cerebrale"
"4341","Embolia cerebrale"
"43410","Embolia cerebrale senza menzione di infarto cerebrale"
"43411","Embolia cerebrale con infarto cerebrale"
"4349","Occlusione di arteria cerebrale, non specificata"
"43490","Occlusione di arteria cerebrale non specificata senza menzione di infarto cerebrale"
"43491","Occlusione di arteria cerebrale non specificata con infarto cerebrale"
"435","Ischemia cerebrale transitoria"
"4350","Sindrome dell’arteria basilare"
"4351","Sindrome dell’arteria vertebrale"
"4352","Sindrome del furto della succlavia"
"4353","Sindrome dell’arteria vertebrobasilare"
"4358","Altra ischemia cerebrale transitoria specificata"
"4359","Ischemia cerebrale transitoria non specificata"
"436","Vasculopatie cerebrali acute, mal definite"
"437","Altre e mal definite vasculopatie cerebrali"
"4370","Aterosclerosi cerebrale"
"4371","Altre vasculopatie ischemiche cerebrali generalizzate"
"4372","Encefalopatia ipertensiva"
"4373","Aneurisma cerebrale senza rottura"
"4374","Arterite cerebrale"
"4375","Malattia ’’moyamoya’’"
"4376","Trombosi non piogena dei seni venosi intracranici"
"4377","Amnesia totale transitoria"
"4378","Altre vasculopatie cerebrali"
"4379","Vasculopatie cerebrali non specificate"
"438","Postumi delle malattie cerebrovascolari"
"4380","Deficit cognitivo"
"4381","Deficit nella parola e nel linguaggio"
"43810","Deficit nella parola e nel linguaggio, non specificato"
"43811","Afasia"
"43812","Disfasia"
"43819","Altri deficit nella parola e nel linguaggio"
"4382","Emiplegia/emiparesi"
"43820","Emiplegia a sede emisferica non specificata"
"43821","Emiplegia dell’emisfero dominante"
"43822","Emiplegia dell’emisfero non dominante"
"4383","Monoplegia degli arti superiori"
"43830","Monoplegia degli arti superiori a sede emisferica non specificata"
"43831","Monoplegia degli arti superiori dell’emisfero dominante"
"43832","Monoplegia degli arti superiori dell’emisfero non dominante"
"4384","Monoplegia degli arti inferiori"
"43840","Monoplegia degli arti inferiori a sede emisferica non specificata"
"43841","Monoplegia degli arti inferiori dell’emisfero dominante"
"43842","Monoplegia degli arti inferiori relativa dell’emisfero non dominante"
"4385","Altre sindromi paralitiche"
"43850","Altre sindromi paralitiche a sede emisferica non specificata"
"43851","Altre sindromi paralitiche dell’emisfero dominante"
"43852","Altre sindromi paralitiche dell’emisfero non dominante"
"43853","Altre sindromi paralitiche, bilaterali"
"4386","Alterazione della sensibilita'"
"4387","Disturbi della vista"
"4388","Altri postumi di malattie cerebrovascolari"
"43881","Aprassia"
"43882","Disfagia"
"43883","Debolezza dei muscoli facciali"
"43884","Atassia"
"43885","Vertigini"
"43889","Altri postumi di malattie cerebrovascolari"
"4389","Postumi non specificati di malattie cerebrovascolari"
"440","Aterosclerosi"
"4400","Aterosclerosi dell’aorta"
"4401","Aterosclerosi delle arterie renali"
"4402","Aterosclerosi delle arterie native degli arti"
"44020","Aterosclerosi delle arterie native degli arti, non specificata"
"44021","Aterosclerosi delle arterie native degli arti con claudicazione intermittente"
"44022","Aterosclerosi delle arterie native degli arti con dolore a riposo"
"44023","Aterosclerosi delle arterie native degli arti con ulcerazioni"
"44024","Aterosclerosi delle arterie native degli arti con gangrena"
"44029","Altre aterosclerosi delle arterie native degli arti"
"4403","Aterosclerosi di innesto vascolare degli arti"
"44030","Aterosclerosi di innesto non specificato degli arti"
"44031","Aterosclerosi di innesto venoso autologo degli arti"
"44032","Aterosclerosi di innesto vascolare naturale non autologo degli arti"
"4408","Aterosclerosi di altre arterie specificate"
"4409","Aterosclerosi generalizzata e non specificata"
"441","Aneurisma dell’aorta e dissezione"
"4410","Dissezione dell’aorta"
"44100","Dissezione dell’aorta di sede non specificata"
"44101","Dissezione dell’aorta, toracica"
"44102","Dissezione dell’aorta, addominale"
"44103","Dissezione dell’aorta toracoaddominale"
"4411","Rottura di aneurisma toracico"
"4412","Aneurisma toracico senza menzione di rottura"
"4413","Rottura di aneurisma addominale"
"4414","Aneurisma addominale senza menzione di rottura"
"4415","Rottura di aneurisma aortico, di sede non specificata"
"4416","Rottura di aneurisma toracoaddominale"
"4417","Aneurisma toracoaddominale senza menzione di rottura"
"4419","Aneurisma aortico di sede non specificata, senza menzione di rottura"
"442","Altri aneurismi"
"4420","Aneurisma delle arterie degli arti superiori"
"4421","Aneurisma dell’arteria renale"
"4422","Aneurisma dell’arteria iliaca"
"4423","Aneurisma delle arterie degli arti inferiori"
"4428","Aneurisma di altre arterie specificate"
"44281","Aneurisma dell’arteria del collo"
"44282","Aneurisma dell’arteria succlavia"
"44283","Aneurisma dell’arteria splenica"
"44284","Aneurisma di altre arterie viscerali"
"44289","Aneurisma di altre sedi specificate"
"4429","Aneurisma di sede non specificata"
"443","Altre malattie vascolari periferiche"
"4430","Sindrome di Raynaud"
"4431","Tromboangioite obliterante (morbo di Buerger)"
"4432","Altre dissezioni di arterie"
"44321","Dissezione dell’arteria carotide"
"44322","Dissezione dell’arteria iliaca"
"44323","Dissezione dell’arteria renale"
"44324","Dissezione dell’arteria vertebrale"
"44329","Dissezione di un’altra arteria"
"4438","Altre malattie vascolari periferiche specificate"
"44381","Angiopatia periferica in malattie classificate altrove"
"44382","Eritromelalgia"
"44389","Altre malattie vascolari periferiche"
"4439","Malattia vascolare periferica non specificata"
"444","Embolia e trombosi arteriose"
"4440","Embolia e trombosi dell’aorta addominale"
"4441","Embolia e trombosi dell’aorta toracica"
"4442","Embolia e trombosi delle arterie degli arti"
"44421","Embolia e trombosi delle arterie degli arti superiori"
"44422","Embolia e trombosi delle arterie degli arti inferiori"
"4448","Embolia e trombosi di altre arterie specificate"
"44481","Embolia e trombosi dell’arteria iliaca"
"44489","Embolia e trombosi di altre arterie"
"4449","Embolia e trombosi di arteria non specificata"
"445","Ateroembolismo"
"4450","Ateroembolismo delle estremita'"
"44501","Ateroembolismo delle estremita' superiori"
"44502","Ateroembolismo delle estremita' inferiori"
"4458","Ateroembolismo di altre sedi"
"44581","Ateroembolismo del rene"
"44589","Ateroembolismo di altre sedi"
"446","Poliarterite nodosa e arteriti similari"
"4460","Poliarterite nodosa"
"4461","Sindrome mucocutanea linfonodale febbrile acuta [MCLS]"
"4462","Angioite da ipersensibilizzazione"
"44620","Angioite da ipersensibilizzazione non specificata"
"44621","Sindrome di Goodpasture"
"44629","Altra angioite da ipersensibilizzazione specificata"
"4463","Granuloma letale della linea mediana"
"4464","Granulomatosi di Wegener"
"4465","Arterite a cellule giganti"
"4466","Microangiopatia trombotica"
"4467","Malattia di Takayasu"
"447","Altri disturbi delle arterie e delle arteriole"
"4470","Fistola arterovenosa acquisita"
"4471","Stenosi di arterie"
"4472","Rottura di arterie"
"4473","Iperplasia dell’arteria renale"
"4474","Sindrome di compressione dell’arteria celiaca"
"4475","Necrosi di arterie"
"4476","Arterite non specificata"
"4478","Altri disturbi specificati delle arterie e delle arteriole"
"4479","Disturbi non specificati delle arterie e delle arteriole"
"448","Malattie dei capillari"
"4480","Teleangectasia emorragica ereditaria"
"4481","Nevo, non neoplastico"
"4489","Altre e non specificate malattie dei capillari"
"451","Flebite e tromboflebite"
"4510","Flebite e tromboflebite dei vasi superficiali delle estremita' inferiori"
"4511","Flebite e tromboflebite delle vene profonde delle estremita' inferiori"
"45111","Flebite e tromboflebite della vena femorale (profonda) (superficiale)"
"45119","Flebite e tromboflebite di altre vene profonde delle estremita' inferiori"
"4512","Flebite e tromboflebite delle estremita' inferiori, non specificate"
"4518","Flebite e tromboflebite di altre sedi"
"45181","Flebite e tromboflebite della vena iliaca"
"45182","Flebite e tromboflebite delle vene superficiali delle estremita' superiori"
"45183","Flebite e tromboflebite delle vene profonde delle estremita' superiori"
"45184","Flebite e tromboflebite non specificate delle estremita' superiori"
"45189","Flebite e tromboflebite di altre sedi"
"4519","Flebite e tromboflebite di sedi non specificate"
"452","Trombosi della vena porta"
"453","Embolia e trombosi di altre vene"
"4530","Sindrome di Budd-Chiari"
"4531","Tromboflebite migrante"
"4532","Embolia e trombosi della vena cava"
"4533","Embolia e trombosi della vena renale"
"4534","Embolia venosa e trombosi dei vasi profondi degli arti inferiori"
"45340","Embolia venosa e trombosi di vasi profondi non specificati degli arti inferiori"
"45341","Embolia venosa e trombosi dei vasi profondi delle parti prossimali degli arti inferiori"
"45342","Embolia venosa e trombosi dei vasi profondi delle parti distali degli arti inferiori"
"4538","Embolia e trombosi di altre vene specificate"
"4539","Embolia e trombosi di sede non specificata"
"454","Varici degli arti inferiori"
"4540","Varici degli arti inferiori con ulcera"
"4541","Varici degli arti inferiori con infiammazione"
"4542","Varici degli arti inferiori con ulcera e infiammazione"
"4548","Varici degli arti inferiori con altre complicazioni"
"4549","Varici degli arti inferiori asintomatiche"
"455","Emorroidi"
"4550","Emorroidi interne senza menzione di complicazioni"
"4551","Emorroidi interne trombizzate"
"4552","Emorroidi interne con altre complicazioni"
"4553","Emorroidi esterne senza menzione di complicazioni"
"4554","Emorroidi esterne trombizzate"
"4555","Emorroidi esterne con altre complicazioni"
"4556","Emorroidi non specificate senza menzione di complicazioni"
"4557","Emorroidi non specificate trombizzate"
"4558","Emorroidi non specificate con altre complicazioni"
"4559","Lembi cutanei emorroidari residui"
"456","Varici di altre sedi"
"4560","Varici esofagee con sanguinamento"
"4561","Varici esofagee senza menzione di sanguinamento"
"4562","Varici esofagee in malattia classificata altrove"
"45620","Varici esofagee con sanguinamento in malattie classificate altrove"
"45621","Varici esofagee in malattie classificate altrove senza menzione di sanguinamento"
"4563","Varici sottolinguali"
"4564","Varicocele"
"4565","Varici pelviche"
"4566","Varici vulvari"
"4568","Varici di altre sedi"
"457","Disturbi non infettivi dei vasi linfatici"
"4570","Sindrome linfadematosa postmastectomia"
"4571","Altri linfoedemi"
"4572","Linfangite"
"4578","Altri disturbi non infettivi dei vasi linfatici"
"4579","Disturbi non specificati non infettivi dei vasi linfatici"
"458","Ipotensione"
"4580","Ipotensione ortostatica"
"4581","Ipotensione cronica"
"4582","Ipotensione iatrogena"
"45821","Ipotensione causata da emodialisi"
"45829","Altra ipotensione iatrogena"
"4588","Altra ipotensione specificata"
"4589","Ipotensione non specificata"
"459","Altri disturbi del sistema circolatorio"
"4590","Emorragia, non specificata"
"4591","Sindrome postflebitica"
"45910","Sindrome postflebitica senza complicazioni"
"45911","Sindrome postflebitica con ulcera"
"45912","Sindrome postflebitica con infiammazione"
"45913","Sindrome postflebitica con ulcera e infiammazione"
"45919","Sindrome postflebitica con altra complicanza"
"4592","Compressione venosa"
"4593","Ipertensione venosa cronica (idiopatica)"
"45930","Ipertensione venosa cronica senza complicazioni"
"45931","Ipertensione venosa cronica con ulcera"
"45932","Ipertensione venosa cronica con infiammazione"
"45933","Ipertensione venosa cronica con ulcera e infiammazione"
"45939","Ipertensione venosa cronica con altra complicanza"
"4598","Altri disturbi specifici del sistema circolatorio"
"45981","Insufficienza (periferica) venosa non specificata"
"45989","Altri disturbi specificati del sistema circolatorio"
"4599","Disturbi non specificati del sistema circolatorio"
"460","Rinofaringite acuta (raffreddore comune)"
"461","Sinusite acuta"
"4610","Sinusite acuta mascellare"
"4611","Sinusite acuta frontale"
"4612","Sinusite acuta etmoidale"
"4613","Sinusite acuta sfenoidale"
"4618","Altre sinusiti acute"
"4619","Sinusite acuta, non specificata"
"462","Faringite acuta"
"463","Tonsillite acuta"
"464","Laringite e tracheite acuta"
"4640","Laringite acuta"
"46400","Laringite acuta senza menzione di ostruzione"
"46401","Laringite acuta con ostruzione"
"4641","Tracheite acuta"
"46410","Tracheite acuta senza menzione di ostruzione"
"46411","Tracheite acuta con ostruzione"
"4642","Laringotracheite acuta"
"46420","Laringotracheite acuta senza menzione di ostruzione"
"46421","Laringotracheite acuta con ostruzione"
"4643","Epiglottite acuta"
"46430","Epiglottite acuta senza menzione di ostruzione"
"46431","Epiglottite acuta con ostruzione"
"4644","Croup"
"4645","Sopraglottite, non specificata"
"46450","Sopraglottite senza menzione di ostruzione"
"46451","Sopraglottite con ostruzione"
"465","Infezioni acute delle vie respiratorie superiori a localizzazioni multiple o non specificate"
"4650","Laringofaringite acuta"
"4658","Infezioni acute delle vie respiratorie superiori, di altre localizzazioni multiple"
"4659","Infezioni acute delle vie respiratorie superiori, sede non specificata"
"466","Bronchite e bronchiolite acuta"
"4660","Bronchite acuta"
"4661","Bronchiolite acuta"
"46611","Bronchiolite acuta da virus respiratorio sinciziale (RSV)"
"46619","Bronchiolite acuta da altri agenti infettivi"
"470","Deviazione del setto nasale"
"471","Polipo nasale"
"4710","Polipi della cavita' nasale"
"4711","Degenerazione polipoide del seno"
"4718","Altri polipi dei seni paranasali"
"4719","Polipi nasali non specificati"
"472","Faringite e rinofaringite cronica"
"4720","Rinite cronica"
"4721","Faringite cronica"
"4722","Rinofaringite cronica"
"473","Sinusite cronica"
"4730","Sinusite cronica mascellare"
"4731","Sinusite cronica frontale"
"4732","Sinusite cronica etmoidale"
"4733","Sinusite cronica sfenoidale"
"4738","Altre sinusiti croniche"
"4739","Sinusite non specificata (cronica)"
"474","Malattie croniche delle tonsille e delle adenoidi"
"4740","Tonsillite ed adenoidite croniche"
"47400","Tonsillite cronica"
"47401","Adenoidite cronica"
"47402","Tonsillite ed adenoidite croniche"
"4741","Ipertrofia delle tonsille e delle adenoidi"
"47410","Ipertrofia di tonsille e adenoidi"
"47411","Ipertrofia isolata delle tonsille"
"47412","Ipertrofia isolata delle adenoidi"
"4742","Vegetazioni adenoidee"
"4748","Altre malattie croniche delle tonsille e delle adenoidi"
"4749","Malattie croniche delle tonsille e delle adenoidi non specificate"
"475","Ascesso peritonsillare"
"476","Laringite e laringotracheite cronica"
"4760","Laringite cronica"
"4761","Laringotracheite cronica"
"477","Rinite allergica"
"4770","Rinite allergica da pollini"
"4771","Rinite allergica da cibo"
"4772","Rinite allergica da peli o forfora animale (gatto) (cane)"
"4778","Rinite allergica da altri allergeni"
"4779","Rinite allergica, da cause non specificate"
"478","Altre malattie delle vie respiratorie superiori"
"4780","Ipertrofia dei turbinati nasali"
"4781","Altre malattie delle cavita' nasali e dei seni paranasali"
"47811","Mucosite nasale (ulcerativa)"
"47819","Altre malattie delle cavita' nasali e dei seni paranasali"
"4782","Altre malattie della faringe, non classificate altrove"
"47820","Malattie della faringe non specificate"
"47821","Cellulite della faringe o del nasofaringe"
"47822","Ascesso parafaringeo"
"47824","Ascesso retrofaringeo"
"47825","Edema della faringe o del nasofaringe"
"47826","Cisti della faringe o del nasofaringe"
"47829","Altre malattie della faringe e del nasofaringe"
"4783","Paralisi delle corde vocali o della laringe"
"47830","Paralisi delle corde vocali non specificata"
"47831","Paralisi delle corde vocali unilaterale parziale"
"47832","Paralisi delle corde vocali unilaterale completa"
"47833","Paralisi delle corde vocali bilaterale parziale"
"47834","Paralisi delle corde vocali bilaterale completa"
"4784","Polipo delle corde vocali o della laringe"
"4785","Altre malattie delle corde vocali"
"4786","Edema della laringe"
"4787","Altre malattie della laringe, non classificate altrove"
"47870","Malattie della laringe non specificate"
"47871","Cellulite e pericondrite della laringe"
"47874","Stenosi della laringe"
"47875","Spasmo laringeo"
"47879","Altre malattie della laringe"
"4788","Reazione di ipersensibilita' delle vie respiratorie superiori, sede non specificata"
"4789","Altre e non specificate malattie delle vie respiratorie superiori"
"480","Polmonite virale"
"4800","Polmonite da Adenovirus"
"4801","Polmonite da virus respiratorio sinciziale"
"4802","Polmonite da virus parainfluenzale"
"4803","Polmonite da SARS- Coronavirus associato"
"4808","Polmonite da altri virus non classificati altrove"
"4809","Polmonite virale, non specificata"
"481","Polmonite pneumococcica (polmonite da Streptococco pneumoniae)"
"482","Altre polmoniti batteriche"
"4820","Polmonite da Klebsiella pneumoniae"
"4821","Polmonite da Pseudomonas"
"4822","Polmonite da Haemophilus influenzae (H. influenzae)"
"4823","Polmonite da Streptococco"
"48230","Polmonite da Streptococco, non specificato"
"48231","Polmonite da Streptococco, gruppo A"
"48232","Polmonite da Streptococco, gruppo B"
"48239","Polmonite da altri Streptococchi"
"4824","Polmonite da Stafilococco"
"48240","Polmonite da Stafilococco, non specificato"
"48241","Polmonite da Stafilococco aureo"
"48249","Altre polmoniti da Stafilococco"
"4828","Polmonite da altri batteri specificati"
"48281","Polmonite da anaerobi"
"48282","Polmonite da Escherichia coli [E. coli]"
"48283","Polmonite da altri batteri gram-negativi"
"48284","Malattia dei legionari (Legionellosi)"
"48289","Polmonite da altri batteri specificati"
"4829","Polmonite batterica, non specificata"
"483","Polmonite da altri organismi specificati"
"4830","Polmonite da Mycoplasma Pneumoniae"
"4831","Polmonite da Clamidia"
"4838","Polmonite da altri organismi specificati"
"484","Polmonite in malattie infettive classificate altrove"
"4841","Polmonite da Cytomegalovirus"
"4843","Polmonite in pertosse"
"4845","Polmonite in carbonchio"
"4846","Polmonite in aspergillosi"
"4847","Polmonite in altre micosi sistemiche"
"4848","Polmonite in altre malattie infettive classificate altrove"
"485","Broncopolmonite, agente non specificato"
"486","Polmonite, agente non specificato"
"487","Influenza"
"4870","Influenza con polmonite"
"4871","Influenza con altremanifestazioni respiratorie"
"4878","Influenza con altre manifestazioni"
"490","Bronchite, non specificata se acuta o cronica"
"491","Bronchite cronica"
"4910","Bronchite cronica semplice"
"4911","Bronchite cronica mucopurulenta"
"4912","Bronchite cronica ostruttiva"
"49120","Bronchite cronica ostruttiva, senza esacerbazione"
"49121","Bronchite cronica ostruttiva, con esacerbazione (acuta)"
"49122","Bronchite cronica ostruttiva con bronchite acuta"
"4918","Altre bronchiti croniche"
"4919","Bronchite cronica non specificata"
"492","Enfisema"
"4920","Bolla enfisematosa"
"4928","Altri enfisemi"
"493","Asma"
"4930","Asma estrinseca"
"49300","Asma estrinseca"
"49301","Asma estrinseca con stato asmatico"
"49302","Asma estrinseca con riacutizzazione"
"4931","Asma intrinseca"
"49310","Asma intrinseca"
"49311","Asma intrinseca con stato asmatico"
"49312","Asma intrinseca con riacutizzazione"
"4932","Asma cronica ostruttiva"
"49320","Asma cronica ostruttiva"
"49321","Asma cronica ostruttiva con stato asmatico"
"49322","Asma cronica ostruttiva con riacutizzazione"
"4938","Altre forme di asma"
"49381","Broncospasmo indotto da esercizio fisico"
"49382","Asma variante con tosse"
"4939","Asma, non specificata"
"49390","Asma, tipo non specificato"
"49391","Asma, tipo non specificato, con stato asmatico"
"49392","Asma, tipo non specificato, con riacutizzazione"
"494","Bronchiectasie"
"4940","Bronchiectasie senza riacutizzazione"
"4941","Bronchiectasie con riacutizzazione"
"495","Alveolite allergica estrinseca"
"4950","Polmone del contadino"
"4951","Bagassosi"
"4952","Polmone dell’allevatore o dell’amatore di uccelli"
"4953","Sugherosi"
"4954","Polmone dei lavoratori del malto"
"4955","Polmone dei lavoratori dei funghi"
"4956","Polmone degli scortecciatori dell’acero"
"4957","Polmonite da condizionatore"
"4958","Altre alveoliti e polmoniti allergiche specificate"
"4959","Alveolite e polmonite allergica non specificata"
"496","Ostruzioni croniche delle vie respiratorie, non classificate altrove"
"500","Pneumoconiosi dei lavoratori del carbone"
"501","Asbestosi"
"502","Altre pneumoconiosi da silice e silicati"
"503","Pneumoconiosi da altre polveri inorganiche"
"504","Pneumoconiosi da inalazione di altre polveri"
"505","Pneumoconiosi, non specificata"
"506","Manifestazioni morbose respiratorie da inalazione di fumi e vapori chimici"
"5060","Bronchite e polmonite da fumi e vapori"
"5061","Edema polmonare acuto da fumi e vapori"
"5062","Infiammazione delle vie respiratorie superiori da fumi e vapori"
"5063","Altre manifestazioni morbose respiratorie acute e subacute da fumi e vapori"
"5064","Manifestazioni morbose croniche respiratorie da inalazione di fumi e vapori"
"5069","Manifestazioni morbose respiratorie da fumi e vapori non specificate"
"507","Polmonite da solidi e liquidi"
"5070","Polmonite da inalazione di cibo o vomito"
"5071","Polmonite da inalazione di olii ed essenze"
"5078","Polmonite da altri solidi e liquidi"
"508","Manifestazioni morbose respiratorie da altri e non specificati agenti esterni"
"5080","Manifestazioni polmonari acute da radiazioni"
"5081","Manifestazioni polmonari croniche ed altre manifestazioni polmonari da radiazioni"
"5088","Manifestazioni morbose respiratorie da altri specificati agenti esterni"
"5089","Manifestazioni morbose respiratorie da non specificati agenti esterni"
"510","Empiema"
"5100","Empiema con fistola"
"5109","Empiema senza menzione di fistola"
"511","Pleurite"
